Time (s),Vr (km/s),Vn (km/s),V (km/s)
28947572.93233083,0.42659528576929023,1.7912501385409858,1.8413474948155992
29026664.661654137,0.4134506710003232,1.7890742705571165,1.836226620796054
29105756.390977446,0.40032639794097274,1.7869714784860464,1.8312641234434208
29184848.120300755,0.38722178916875627,1.7849411628613538,1.826459873329796
29263939.84962406,0.37413617126780474,1.7829827473677362,1.8218137533957561
29343031.57894737,0.3610688746955432,1.7810956784121967,1.8173256581946202
29422123.308270678,0.34801923364956633,1.7792794247144597,1.8129954931555263
29501215.037593987,0.33498658593470304,1.777533476916032,1.808823173865645
29580306.766917296,0.32197027283032226,1.7758573472073664,1.8048086253719027
29659398.496240605,0.3089696389579265,1.7742505689726218,1.8009517815026208
29738490.22556391,0.2959840321489823,1.772712696451517,1.7972525842094589
29817581.95488722,0.28301280331311596,1.7712433044178357,1.793710982930127
29896673.684210528,0.27005530630658187,1.7698419878741312,1.7903269339722836
29975765.413533837,0.2571108978010796,1.7685083617622241,1.7871003999190933
30054857.142857146,0.24417893715290034,1.7672420606891102,1.7840313490569084
30133948.872180454,0.23125878627240307,1.7660427386679,1.7811197548255429
30213040.60150376,0.2183498094938472,1.7649100688734611,1.778365595291622
30292132.33082707,0.20545137344553735,1.763843743412428,1.7757688526454745
30371224.060150377,0.19256284692031608,1.762843473107279,1.773329512722041
30450315.789473686,0.1796836007463687,1.761908987294207,1.7710475645462713
30529407.518796995,0.16681300765834436,1.7610400336345025,1.7689229999034533
30608499.2481203,0.15395044216878245,1.760236377939222,1.7669558129349345
30687590.97744361,0.14109528043982136,1.7594978040069011,1.7651459997596515
30766682.70676692,0.12824690015519252,1.7588241134741083,1.7634935581218887
30845774.436090227,0.11540468039246053,1.7582151256786491,1.7619984870656598
30924866.165413536,0.1025680014955175,1.7576706775352378,1.7606607866360762
31003957.894736845,0.08973624494728298,1.757190623423487,1.7594804576080583
31083049.62406015,0.07690879324262564,1.75677483508806,1.7584575012426993
31162141.35338346,0.06408502976146765,1.7564232015508743,1.757591919071589
31241233.082706768,0.0512643386420277,1.7561356290352281,1.7568837127093417
31320324.812030077,0.038446104654230144,1.7559120409017641,1.7563328836945695
31399416.541353386,0.025629713073221923,1.755752377596189,1.755939433359501
31478508.270676695,0.012814549552979658,1.755656596608673,1.7557033627283951
31557600.0,6.299422053390635e-16,1.7556246724448943,1.7556246724448943
